slug,name,articleNo,material,dimensions,weight,pieceCount,fixingMethod,paintStatus,finish,installationDifficulty,installationTimeMinutes,warrantyDays,powerDraw,voltage,fitment_universal,fitment_note,does_not_fit,fits
toyota-corolla-gli-xli-2009-2014-multimedia-steering-wheel-audio-control-buttons,Toyota Corolla GLi XLi 2009-2014 Multimedia Steering Wheel Audio Control Buttons,CC-0013,,,,,,,,,,,,,,,,
toyota-corolla-grande-2014-2018-carbon-fiber-steering-wheel-paddle-shifters-pair,Toyota Corolla Grande 2014-2018 Carbon Fiber Steering Wheel Paddle Shifters Pair,CC-0019,,,,,,,,,,,,,,,,
toyota-corolla-grande-premium-metal-key-cover,Toyota Corolla Grande NEW Premium Metal Key Cover,CC-KC-TOYOTACOROLLAGRANDE,,,,,,,,,,,,,,,,
toyota-corolla-grande-steering-wheel-trim-in-carbon-fiber-multimedia,Toyota Corolla Grande Steering Wheel Trim in Carbon Fiber Multimedia,CC-0024,,,,,,,,,,,,,,,,
toyota-corolla-lava-style-tail-lights-2012-2014,Toyota Corolla Lava Style Tail Lights 2012-2014,CC-EXT-120,,,,,,,,,,,,,,,,
toyota-corolla-nike-style-2-projector-headlights-2012-2014,Toyota Corolla Nike Style 2 Projector Headlights 2012-2014,CC-EXT-106,,,,,,,,,,,,,,,,
toyota-corolla-nike-style-3-projector-headlights-2012-2014,Toyota Corolla Nike Style 3 Projector Headlights 2012-2014,CC-EXT-121,,,,,,,,,,,,,,,,
toyota-corolla-premium-fog-lights-with-covers-2015-2022,Toyota Corolla Premium Fog Lights With Covers 2015-2022,CC-LGT-102,,,,,,,,,,,,,,,,
toyota-corolla-rgb-dynamic-back-bumper-light,Toyota Corolla RGB Dynamic Back Bumper Light,CC-COR-BBL-2,,,,,,,,,,,,,,,,
toyota-corolla-rgb-side-style-and-back-bumper-light,Toyota Corolla RGB Side Style + Back Bumper Light,CC-COR-RGB-KIT,,,,,,,,,,,,,,,,
toyota-corolla-tail-lights-new-version-2015-2026,Toyota Corolla Tail Lights New Version 2015-2026,CC-EXT-122,,,,,,,,,,,,,,,,
toyota-corolla-trd-style-front-grille-gloss-black-abs,Toyota Corolla TRD Style Front Grille – Gloss Black ABS,CC-0029,,,,,,,,,,,,,,,,
toyota-corolla-x-2017-2020-front-bumper-replacement,Toyota Corolla X 2017-2020 Front Bumper Replacement,CC-0036,,,,,,,,,,,,,,,,
toyota-corolla-x-dynamic-back-bumper-light-rgb-2022-2023,Toyota Corolla X Dynamic Back Bumper Light RGB 2022-2023,CC-COR-BBL-RGB,,,,,,,,,,,,,,,,
toyota-corolla-x-shark-fin-style-lower-panel-diffuser,Toyota Corolla X Shark Fin Style Lower Panel Diffuser,CC-0022,,,,,,,,,,,,,,,,
toyota-fortuner-2020-2026-tpe-floor-mats-premium,Toyota Fortuner 2020-2026 TPE Floor Mats Premium,CC-INT-157,,,,,,,,,,,,,,,,
toyota-fortuner-2020-2026-velvet-dashboard-mat,Toyota Fortuner 2020-2026 Velvet Dashboard Mat,CC-INT-130,,,,,,,,,,,,,,,,
toyota-fortuner-3-button-premium-metal-key-cover,Toyota Fortuner 3 Button Premium Metal Key Cover,CC-KC-TOYOTAFORTUNER3BUTTO,,,,,,,,,,,,,,,,
toyota-fortuner-4-button-premium-metal-key-cover,Toyota Fortuner 4 Button Premium Metal Key Cover,CC-KC-TOYOTAFORTUNER4BUTTO,,,,,,,,,,,,,,,,
toyota-hilux-revo-2016-2021-tpe-floor-mats-premium,Toyota Hilux Revo 2016-2021 TPE Floor Mats Premium,CC-INT-154,,,,,,,,,,,,,,,,
toyota-mark-x-abs-roof-spoiler-2020-2022,Toyota Mark X ABS Roof Spoiler 2020-2022,CC-EXT-135,,,,,,,,,,,,,,,,
toyota-mark-x-design-x-grille-2005-2009-glossy-black-abs,Toyota Mark X Design X Grille 2005-2009 Glossy Black ABS,CC-EXT-125,,,,,,,,,,,,,,,,
toyota-mark-x-duck-tail-spoiler-2004-2009,Toyota Mark X Duck tail Spoiler 2004-2009,CC-EXT-138,,,,,,,,,,,,,,,,
toyota-mark-x-front-bumper-drl-cover-arrow-shape-drl-514,Toyota Mark X Front Bumper DRL Cover Arrow Shape DRL-514,CC-EXT-136,,,,,,,,,,,,,,,,
toyota-mark-x-front-bumper-drl-cover-oem-fitting-drl-515,Toyota Mark X Front Bumper DRL Cover OEM Fitting DRL-515,CC-EXT-137,,,,,,,,,,,,,,,,
toyota-mark-x-sports-style-smoke-tail-lights-2004-2009,Toyota Mark X Sports Style Smoke Tail Lights 2004-2009,CC-EXT-124,,,,,,,,,,,,,,,,
toyota-mark-x-trd-style-body-kit-2004-2009-unpainted-fiberglass,Toyota Mark X TRD Style Body Kit 2004-2009 Unpainted Fiberglass,CC-EXT-128,,,,,,,,,,,,,,,,
toyota-mark-x-vertex-style-body-kit-2006-2009,Toyota Mark X Vertex Style Body Kit 2006-2009,CC-EXT-134,,,,,,,,,,,,,,,,
toyota-passo-2016-22-velvet-dashboard-mat,Toyota Passo 2016-22 Velvet Dashboard Mat,CC-INT-125,,,,,,,,,,,,,,,,
toyota-prado-premium-metal-key-cover,Toyota Prado Premium Metal Key Cover,CC-KC-TOYOTAPRADO,,,,,,,,,,,,,,,,
toyota-prius-2004-09-velvet-dashboard-mat,Toyota Prius 2004-09 Velvet Dashboard Mat,CC-INT-120,,,,,,,,,,,,,,,,
toyota-prius-2009-2015-velvet-dashboard-mat,Toyota Prius 2009-2015 Velvet Dashboard Mat,CC-INT-132,,,,,,,,,,,,,,,,
toyota-prius-2012-quarter-glass-louvers-carbon-fiber,Toyota Prius 2012 Quarter Glass Louvers Carbon Fiber Lamborghini Style,CC-PRI-LOUV-12,,,,,,,,,,,,,,,,
toyota-prius-2017-2021-batman-style-side-mirror-covers,Toyota Prius 2017-2021 Batman Style Carbon Fiber Side Mirror Covers,CC-PRI-MIR-BAT-17,,,,,,,,,,,,,,,,
toyota-prius-premium-metal-key-cover,Toyota Prius NEW Premium Metal Key Cover,CC-KC-TOYOTAPRIUS,,,,,,,,,,,,,,,,
toyota-raize-2019-2026-tpe-floor-mats-premium,Toyota Raize 2019-2026 TPE Floor Mats Premium,CC-INT-145,,,,,,,,,,,,,,,,
toyota-raize-batman-style-side-mirror-cover,Toyota Raize 2025 Batman Style Side Mirror Cover,CC-RAI-MIR-BAT,,,,,,,,,,,,,,,,
toyota-revo-2016-22-velvet-dashboard-mat,Toyota Revo 2016-22 Velvet Dashboard Mat,CC-INT-128,,,,,,,,,,,,,,,,
toyota-yaris-2020-2021-complete-body-kit,Toyota Yaris 2020-2021 Complete Body Kit,CC-0035,,,,,,,,,,,,,,,,
toyota-yaris-2020-2023-carbon-fiber-door-handle-cover,Toyota Yaris 2020-2023 Carbon Fiber Door Handle Cover,CC-0025,,,,,,,,,,,,,,,,
toyota-yaris-2020-2026-roof-spoiler-abs-plastic,Toyota Yaris 2020-2026 Roof Spoiler – ABS Plastic,CC-0119,,,,,,,,,,,,,,,,
toyota-yaris-2020-2026-tpe-floor-mats-premium,Toyota Yaris 2020-2026 TPE Floor Mats Premium,CC-INT-136,,,,,,,,,,,,,,,,
toyota-yaris-2020-2026-trunk-lip-spoiler-abs-plastic,Toyota Yaris 2020-2026 Trunk Lip Spoiler – ABS Plastic,CC-0118,,,,,,,,,,,,,,,,
toyota-yaris-2020-2026-velvet-dashboard-mat,Toyota Yaris 2020-2026 Velvet Dashboard Mat,CC-INT-117,,,,,,,,,,,,,,,,
toyota-yaris-2020-2026-window-quarter-louver-covers-gloss-black,Toyota Yaris 2020-2026 Window Quarter Louver Covers – Gloss Black,CC-TYR-EXT-WQL-GB-20,,,,,,,,,,,,,,,,
toyota-yaris-cross-batman-style-side-mirror-cover,Toyota Yaris Cross Batman Style Carbon Fiber Side Mirror Cover,CC-YXC-MIR-BAT,,,,,,,,,,,,,,,,
toyota-yaris-premium-metal-key-cover,Toyota Yaris Premium Metal Key Cover,CC-KC-TOYOTAYARIS,,,,,,,,,,,,,,,,
universal-3-piece-front-bumper-splitter-ground-style-abs,Universal 3-Piece Front Bumper Splitter Ground Style ABS,CC-0034,,,,,,,,,,,,,,,,
universal-amber-grill-lights-4pcs,Universal Amber Grill Lights 4PCS – LED Front Grill,CC-UNI-LGT-AGL-YL,,,,,,,,,,,,,,,,
universal-angel-wings-led-car-light,Universal Angel Wings LED Car Light RGB Decorative,CC-0150,,,,,,,,,,,,,,,,
universal-car-anti-rust-door-lock-cover-premium-protection-cap,Universal Car Anti-Rust Door Lock Cover – Premium Protection Cap,CC-0104,,,,,,,,,,,,,,,,
universal-car-digital-eyes-led-panel-lights,Universal Car Digital Eyes LED Panel Lights,CC-UNI-LED-DEYE,,,,,,,,,,,,,,,,
universal-car-eyes-spoiler-with-running-brake-led-lights-3pcs,Universal Car Eyes Spoiler With Running Brake LED Lights (3Pcs),CC-EXT-201,,,,,,,,,,,,,,,,
universal-car-led-reflector-bumper-side-marker-light,Universal Car LED Reflector Bumper Side Marker Light,CC-UNI-LED-REFL,,,,,,,,,,,,,,,,
universal-car-umbrella-windshield-protector-sun-shade,Universal Car Umbrella Windshield Protector Sun Shade,CC-UNI-141,,,,,,,,,,,,,,,,
universal-carbon-fiber-steering-wheel-cover-trims-anti-slip-2pcs,Universal Carbon Fiber Steering Wheel Cover Trims Anti-Slip 2PCS,CC-0026,,,,,,,,,,,,,,,,
universal-crystal-led-gear-knob-touch-activated-premium-car-shifter,Universal Crystal LED Gear Knob – Touch Activated Premium Car Shifter,CC-UNI-INT-GKN-TOY,,,,,,,,,,,,,,,,
universal-front-bumper-splitter-canard-1pcs-matt-black-abs,Universal Front Bumper Splitter Canard 1PCS Matt Black ABS,CC-UNI-CANARD-1,,,,,,,,,,,,,,,,
universal-front-splitter-spike-d5-carbon-fiber-canard-3pcs,Universal Front Splitter Spike D5 Carbon Fiber Canard 3PCS,CC-0031,,,,,,,,,,,,,,,,
universal-front-splitter-style-4-gloss-black-canard-3pcs,Universal Front Splitter Style 4 Gloss Black Canard 3PCS,CC-0030,,,,,,,,,,,,,,,,
universal-hand-sewing-top-alcantara-steering-wheel-cover-1-pc-black,Universal Hand Sewing Top Alcantara Steering Wheel Cover 1 Pc (Black),CC-0021,,,,,,,,,,,,,,,,
universal-led-flash-lights-cd-076,Universal LED Flash Lights CD-076,CC-LGT-104,,,,,,,,,,,,,,,,
universal-led-matrix-panel,Universal LED Matrix Panel Programmable Display Light,CC-0197,,,,,,,,,,,,,,,,
universal-premium-exhaust-cut-off-kit,Universal Premium Exhaust Cut Off Kit,CC-EXT-101,,,,,,,,,,,,,,,,
universal-rear-bumper-diffuser-carbon-fiber-d2-style-2pcs,Universal Rear Bumper Diffuser Carbon Fiber D2 Style 2PCS,CC-0033,,,,,,,,,,,,,,,,
universal-usb-car-humidifier-atmosphere-light-laser-roof-light,Universal USB Car Humidifier with Atmosphere Light & Laser Roof Projection,CC-UNI-HUM-LSR-001,,,,,,,,,,,,,,,,
x-card-car-hanging-air-freshener-perfume,X Card Car Hanging Air Freshener Rear Mirror Perfume,CC-0190,,,,,,,,,,,,,,,,
